timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
186491095,0.045,1.2650001,1000,-1566,611,-10000,377,5000,0,0,0,1421,1530,1000,1518,1750,1500,0,0,1587,1490,1108,1550,968,1089,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
187506505,0.045,1.44,1000,-1566,611,-10000,377,5000,0,0,0,1421,1530,1000,1518,1750,1500,0,0,1587,1490,1108,1550,968,1089,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
188531665,0.043,1.455,1000,-1566,611,-10000,377,5000,0,0,0,1421,1530,1000,1518,1750,1500,0,0,1586,1491,1108,1549,968,1090,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
189557032,0.045,1.1600001,1000,-1566,611,-10000,377,5000,0,0,0,1421,1530,1000,1518,1750,1500,0,0,1587,1490,1108,1550,968,1089,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
190573007,0.043,1.176,1000,-1566,611,-10000,377,5000,0,0,0,1421,1530,1000,1518,1750,1500,0,0,1586,1490,1109,1549,968,1090,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
191592840,0.048,1.1630001,1000,-1566,611,-10000,377,5000,0,0,0,1421,1530,1000,1518,1750,1500,0,0,1587,1490,1108,1550,968,1089,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
192618660,0.043,1.1600001,1000,-1540,587,-10000,377,5000,0,0,0,1423,1529,1000,1518,1750,1500,0,0,1587,1490,1108,1550,968,1089,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
193629274,0.045,1.199,1000,-1566,611,-10000,377,5000,0,0,0,1421,1530,1000,1518,1750,1500,0,0,1587,1490,1108,1550,968,1090,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
194654913,0.041,1.1600001,1000,-1566,611,-10000,377,5000,0,0,0,1421,1530,1000,1518,1750,1500,0,0,1586,1491,1108,1550,967,1090,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
195675075,0.048,1.4210001,1000,-1566,611,-10000,377,5000,0,0,0,1421,1530,1000,1518,1750,1500,0,0,1587,1490,1108,1550,968,1089,1002,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1
